# f1_exp_029_061_pg_1982NI05.dat
#
# Z = 29, A = 61
# No. of entries: 16
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3 
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: M. Wiedeking from Nilson, Nucl. Phys. A391, 61 (1982). 
#    E         f1         dE        df1
     8.305     2.600E-08  0.375     4.000E-09
     7.830     2.200E-08  0.375     3.000E-09
     7.335     1.700E-08  0.375     2.000E-09
     6.995     1.320E-08  0.375     1.700E-09
     6.911     1.590E-08  0.375     1.900E-09
     6.645     8.100E-09  0.375     1.000E-09
     6.573     1.000E-08  0.375     1.300E-09
     6.401     1.200E-08  0.375     1.700E-09
     6.217     1.010E-08  0.375     1.200E-09
     6.102     9.100E-09  0.375     1.100E-09
     6.010     1.600E-08  0.375     2.000E-09
     5.969     9.600E-09  0.375     1.400E-09
     5.907     6.500E-09  0.375     8.000E-10
     5.833     6.800E-09  0.375     9.000E-10
     5.621     6.600E-09  0.375     8.000E-10
     5.513     7.300E-09  0.375     1.000E-09
