# fE1_exp_029_064_THC.dat                         
#                                                 
# Z = 29  , A = 64                                
# No. of entries:            39                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f in MeV^-3              
# Col 4: uncertainty df in MeV^-3                 
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       f           df            
     7.916     0.000   0.462E-06   0.800E-08
     7.757     0.000   0.234E-07   0.400E-09
     7.638     0.000   0.252E-06   0.620E-08
     7.573     0.000   0.277E-07   0.500E-09
     7.554     0.000   0.130E-08   0.200E-09
     7.307     0.000   0.170E-07   0.210E-08
     7.253     0.000   0.270E-08   0.900E-09
     7.177     0.000   0.480E-07   0.700E-09
     7.170     0.000   0.570E-08   0.400E-09
     7.038     0.000   0.770E-08   0.400E-09
     6.675     0.000   0.463E-07   0.700E-09
     6.618     0.000   0.270E-07   0.700E-09
     6.596     0.000   0.152E-07   0.800E-09
     6.477     0.000   0.440E-08   0.300E-09
     6.395     0.000   0.369E-07   0.700E-09
     6.365     0.000   0.280E-08   0.300E-09
     6.322     0.000   0.990E-08   0.400E-09
     6.136     0.000   0.590E-08   0.400E-09
     6.063     0.000   0.189E-07   0.500E-09
     6.016     0.000   0.730E-08   0.700E-09
     6.011     0.000   0.507E-07   0.100E-08
     5.866     0.000   0.490E-08   0.400E-09
     5.771     0.000   0.183E-07   0.800E-09
     5.528     0.000   0.510E-08   0.500E-09
     5.418     0.000   0.806E-07   0.130E-08
     5.321     0.000   0.250E-08   0.500E-09
     5.259     0.000   0.491E-07   0.110E-08
     5.190     0.000   0.331E-07   0.900E-09
     5.184     0.000   0.182E-07   0.700E-09
     5.024     0.000   0.100E-07   0.110E-08
     5.019     0.000   0.104E-07   0.120E-08
     4.790     0.000   0.670E-08   0.800E-09
     4.658     0.000   0.528E-07   0.130E-08
     4.133     0.000   0.374E-07   0.180E-08
     4.089     0.000   0.257E-07   0.140E-08
     3.882     0.000   0.173E-07   0.280E-08
     3.844     0.000   0.597E-07   0.370E-08
     3.651     0.000   0.880E-08   0.200E-08
     3.588     0.000   0.510E-07   0.600E-08
