# fE1_exp_029_066_THC.dat                         
#                                                 
# Z = 29  , A = 66                                
# No. of entries:            34                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f in MeV^-3              
# Col 4: uncertainty df in MeV^-3                 
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         f            dE       df            
     7.066    0.164E-07    0.000    0.300E-09
     6.880    0.280E-08    0.000    0.100E-09
     6.828    0.200E-09    0.000    0.100E-09
     6.791    0.218E-07    0.000    0.300E-09
     6.680    0.120E-06    0.000    0.200E-08
     6.601    0.130E-06    0.000    0.270E-08
     6.336    0.150E-08    0.000    0.100E-09
     6.243    0.261E-07    0.000    0.400E-09
     6.049    0.201E-07    0.000    0.400E-09
     6.014    0.140E-08    0.000    0.800E-09
     5.908    0.400E-09    0.000    0.100E-09
     5.854    0.150E-08    0.000    0.300E-09
     5.722    0.530E-08    0.000    0.100E-09
     5.627    0.700E-09    0.000    0.100E-09
     5.519    0.102E-07    0.000    0.200E-09
     5.489    0.150E-08    0.000    0.100E-09
     5.388    0.880E-08    0.000    0.200E-09
     5.320    0.106E-06    0.000    0.220E-08
     5.246    0.131E-06    0.000    0.250E-08
     5.139    0.500E-08    0.000    0.500E-09
     5.048    0.372E-07    0.000    0.180E-08
     4.613    0.101E-07    0.000    0.600E-09
     4.563    0.920E-08    0.000    0.300E-09
     4.437    0.160E-08    0.000    0.500E-09
     4.385    0.108E-06    0.000    0.180E-08
     4.378    0.238E-07    0.000    0.900E-09
     4.298    0.740E-08    0.000    0.430E-08
     4.198    0.383E-07    0.000    0.110E-08
     4.056    0.970E-08    0.000    0.400E-09
     3.967    0.179E-07    0.000    0.800E-09
     3.900    0.530E-07    0.000    0.130E-08
     3.579    0.660E-08    0.000    0.100E-08
     3.557    0.243E-07    0.000    0.230E-08
     3.053    0.210E-07    0.000    0.210E-08
