# fe1_exp_029_063_photoneut_2016Va1.dat                  
#
# Z = 29, A = 63
# No. of entries:   55
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2016Va1  V.V.Varlamov, et al.,; Izv. Ros. Akad. Nauk, Ser.Fiz. 80(3), 351(2016); (Bull.Rus.Acad.Sci.Phys. 80, 317 (2016)).                           
#    E         f1            dE       df1
    10.870     0.439E-07     0.000    0.958E-08
    11.180     0.419E-07     0.000    0.853E-08
    11.490     0.544E-07     0.000    0.981E-08
    11.640     0.224E-07     0.000    0.149E-07
    11.790     0.112E-06     0.000    0.191E-07
    11.950     0.886E-07     0.000    0.174E-07
    12.100     0.128E-06     0.000    0.222E-07
    12.250     0.991E-07     0.000    0.191E-07
    12.410     0.119E-06     0.000    0.182E-07
    12.710     0.131E-06     0.000    0.205E-07
    13.020     0.150E-06     0.000    0.220E-07
    13.330     0.148E-06     0.000    0.221E-07
    13.640     0.181E-06     0.000    0.267E-07
    13.940     0.202E-06     0.000    0.292E-07
    14.250     0.224E-06     0.000    0.323E-07
    14.560     0.259E-06     0.000    0.369E-07
    14.870     0.271E-06     0.000    0.385E-07
    15.170     0.297E-06     0.000    0.423E-07
    15.480     0.328E-06     0.000    0.465E-07
    15.790     0.358E-06     0.000    0.505E-07
    16.100     0.374E-06     0.000    0.539E-07
    16.400     0.368E-06     0.000    0.524E-07
    16.710     0.357E-06     0.000    0.509E-07
    17.020     0.339E-06     0.000    0.479E-07
    17.320     0.303E-06     0.000    0.431E-07
    17.630     0.282E-06     0.000    0.403E-07
    17.940     0.293E-06     0.000    0.416E-07
    18.250     0.245E-06     0.000    0.352E-07
    18.550     0.265E-06     0.000    0.379E-07
    18.860     0.241E-06     0.000    0.350E-07
    19.170     0.247E-06     0.000    0.353E-07
    19.480     0.196E-06     0.000    0.303E-07
    19.780     0.212E-06     0.000    0.307E-07
    20.090     0.201E-06     0.000    0.324E-07
    20.400     0.185E-06     0.000    0.276E-07
    20.700     0.181E-06     0.000    0.272E-07
    21.010     0.188E-06     0.000    0.256E-07
    21.320     0.160E-06     0.000    0.248E-07
    21.630     0.174E-06     0.000    0.237E-07
    21.930     0.154E-06     0.000    0.237E-07
    22.240     0.173E-06     0.000    0.226E-07
    22.550     0.165E-06     0.000    0.246E-07
    22.860     0.173E-06     0.000    0.220E-07
    23.160     0.145E-06     0.000    0.195E-07
    23.470     0.147E-06     0.000    0.188E-07
    23.780     0.123E-06     0.000    0.171E-07
    24.080     0.126E-06     0.000    0.166E-07
    24.390     0.105E-06     0.000    0.153E-07
    24.700     0.102E-06     0.000    0.133E-07
    25.010     0.103E-06     0.000    0.160E-07
    25.310     0.942E-07     0.000    0.158E-07
    25.620     0.884E-07     0.000    0.166E-07
    25.930     0.876E-07     0.000    0.137E-07
    26.240     0.664E-07     0.000    0.152E-07
    26.540     0.654E-07     0.000    0.154E-07
