Response function created for file:ni58.m   at 14-Oct-22 15:55:36
Calibration (a0,a1)=  16.000  40.000  FWHM (rel. at 1.33 MeV)=   5.980

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
    16.0       8.0   0.856  1.0000  0.0000  0.0000  0.0000  0.0000
   296.0      36.6   0.957  0.7479  0.2521  0.0000  0.0000  0.0000
   576.0      47.1   1.008  0.6308  0.3692  0.0000  0.0000  0.0000
   856.0      59.8   1.017  0.5705  0.4295  0.0000  0.0000  0.0000
  1136.0      71.6   1.003  0.5352  0.4648  0.0000  0.0000  0.0000
  1416.0      83.1   0.998  0.5012  0.4977  0.0006  0.0000  0.0005
  1696.0      93.6   0.991  0.4664  0.5170  0.0084  0.0000  0.0082
  1976.0     105.4   0.988  0.4349  0.5396  0.0115  0.0000  0.0140
  2256.0     115.9   0.988  0.4108  0.5494  0.0218  0.0000  0.0180
  2536.0     126.5   0.990  0.3874  0.5626  0.0257  0.0000  0.0243
  2816.0     135.0   0.994  0.3636  0.5786  0.0281  0.0000  0.0297
  3096.0     141.0   0.999  0.3473  0.5883  0.0299  0.0006  0.0339
  3376.0     142.9   1.007  0.3301  0.5943  0.0335  0.0022  0.0399
  3656.0     148.3   1.013  0.3139  0.6013  0.0372  0.0029  0.0447
  3936.0     157.1   1.019  0.2965  0.6119  0.0408  0.0028  0.0482
  4216.0     164.7   1.024  0.2825  0.6196  0.0438  0.0027  0.0514
  4496.0     171.4   1.030  0.2698  0.6260  0.0468  0.0028  0.0547
  4776.0     176.1   1.041  0.2592  0.6318  0.0483  0.0037  0.0570
  5056.0     180.5   1.051  0.2467  0.6411  0.0488  0.0044  0.0590
  5336.0     186.4   1.057  0.2373  0.6494  0.0469  0.0041  0.0623
  5616.0     193.3   1.062  0.2278  0.6529  0.0514  0.0033  0.0647
  5896.0     202.0   1.068  0.2160  0.6527  0.0643  0.0019  0.0652
  6176.0     209.2   1.075  0.2074  0.6562  0.0683  0.0016  0.0665
  6456.0     215.2   1.084  0.1991  0.6648  0.0664  0.0020  0.0677
  6736.0     220.9   1.092  0.1911  0.6728  0.0647  0.0024  0.0690
  7016.0     226.3   1.100  0.1821  0.6824  0.0627  0.0028  0.0700
  7296.0     230.7   1.109  0.1743  0.6905  0.0620  0.0028  0.0706
  7576.0     234.7   1.117  0.1672  0.6971  0.0615  0.0028  0.0714
  7856.0     238.4   1.126  0.1592  0.7054  0.0608  0.0028  0.0719
  8136.0     243.0   1.133  0.1520  0.7138  0.0592  0.0027  0.0723
  8416.0     248.8   1.138  0.1448  0.7237  0.0566  0.0025  0.0725
  8696.0     254.3   1.144  0.1376  0.7334  0.0540  0.0023  0.0727
  8976.0     259.7   1.150  0.1290  0.7460  0.0507  0.0022  0.0721
  9256.0     265.5   1.155  0.1228  0.7541  0.0498  0.0021  0.0713
  9536.0     271.1   1.161  0.1167  0.7617  0.0491  0.0020  0.0704
  9816.0     276.6   1.166  0.1092  0.7724  0.0477  0.0020  0.0686
 10096.0     282.0   1.172  0.1030  0.7806  0.0469  0.0019  0.0676
 10376.0     287.2   1.178  0.0966  0.7889  0.0461  0.0019  0.0666
 10656.0     292.3   1.183  0.0897  0.7984  0.0449  0.0018  0.0652
 10936.0     297.3   1.189  0.0831  0.8071  0.0440  0.0018  0.0640
 11216.0     302.1   1.194  0.0765  0.8160  0.0430  0.0017  0.0627
 11496.0     306.8   1.200  0.0696  0.8259  0.0418  0.0016  0.0611
 11776.0     311.3   1.206  0.0628  0.8352  0.0407  0.0016  0.0597
 12056.0     315.7   1.211  0.0560  0.8447  0.0395  0.0015  0.0582
 12336.0     319.9   1.217  0.0493  0.8543  0.0383  0.0014  0.0567
 12616.0     324.0   1.222  0.0424  0.8643  0.0370  0.0014  0.0549
 12896.0     328.0   1.228  0.0359  0.8734  0.0359  0.0013  0.0535
 13176.0     331.9   1.234  0.0295  0.8825  0.0348  0.0012  0.0520
 13456.0     335.6   1.239  0.0231  0.8916  0.0336  0.0012  0.0505
 13736.0     339.1   1.245  0.0167  0.9014  0.0322  0.0011  0.0486
 14016.0     342.5   1.250  0.0105  0.9105  0.0310  0.0010  0.0470
 14296.0     345.8   1.256  0.0045  0.9194  0.0298  0.0010  0.0454
 14576.0     348.9   1.262  0.0000  0.9272  0.0284  0.0009  0.0435
 14856.0     351.9   1.267  0.0000  0.9306  0.0270  0.0008  0.0416
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
    16.0   0.856   0.000   0.000
    56.0   0.870   0.208   0.181
    96.0   0.885   0.438   0.388
   136.0   0.899   0.546   0.491
   176.0   0.913   0.677   0.618
   216.0   0.928   0.835   0.775
   256.0   0.942   0.962   0.906
   296.0   0.957   1.000   0.957
   336.0   0.971   1.000   0.971
   376.0   0.985   1.000   0.985
   416.0   0.995   1.000   0.995
   456.0   0.998   1.000   0.998
   496.0   1.002   1.000   1.002
   536.0   1.005   1.000   1.005
   576.0   1.008   1.000   1.008
   616.0   1.011   1.000   1.011
   656.0   1.013   1.000   1.013
   696.0   1.015   1.000   1.015
   736.0   1.017   1.000   1.017
   776.0   1.019   1.000   1.019
   816.0   1.019   1.000   1.019
   856.0   1.017   1.000   1.017
   896.0   1.015   1.000   1.015
   936.0   1.013   1.000   1.013
   976.0   1.011   1.000   1.011
  1016.0   1.009   1.000   1.009
