 Parameters used:

First geneneration spectra extracted for
excitation energies between 10284.-   24. keV
corresponding to y-channels   171 -    0
 Number of spectra=  172
 Ax0 =    23.5 Ax1 =    60.0 Ay0 =    23.5 Ay1 =    60.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:       50.0 keV (ch=   0)
 Upper threshold for statistical gammas:   50.0 keV (ch=   0)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
171 10284.     7479.        0.     7479. 1.85       0  0.00  1.00  1.85  1.00  1.79
170 10224.    13627.        0.    13627. 1.81       0  0.00  1.00  1.81  1.00  1.75
169 10164.    21678.        0.    21678. 1.79       0  0.00  1.00  1.79  1.00  1.74
168 10104.    30240.        0.    30240. 1.78       0  0.00  1.00  1.78  1.00  1.73
167 10044.    39030.        0.    39030. 1.85       0  0.00  1.00  1.85  1.00  1.79
166  9984.    43656.        0.    43656. 1.94       0  0.00  1.00  1.94  1.00  1.88
165  9924.    42292.        0.    42292. 2.03       0  0.00  1.00  2.03  1.00  1.97
164  9864.    34274.        0.    34274. 1.99       0  0.00  1.00  1.99  1.00  1.93
163  9804.    29913.        0.    29913. 2.13       0  0.00  1.00  2.13  1.00  2.07
162  9744.    26796.        0.    26796. 2.10       0  0.00  1.00  2.10  1.00  2.04
161  9684.    27924.        0.    27924. 2.07       0  0.00  1.00  2.07  1.00  2.01
160  9624.    31302.        0.    31302. 2.10       0  0.00  1.00  2.10  1.00  2.03
159  9564.    20038.        0.    20038. 1.77       0  0.00  1.00  1.77  1.00  1.72
158  9504.    21327.        0.    21327. 1.88       0  0.00  1.00  1.88  1.00  1.82
157  9444.    19346.        0.    19346. 1.98       0  0.00  1.00  1.98  1.00  1.92
156  9384.    15763.        0.    15763. 1.99       0  0.00  1.00  1.99  1.00  1.93
155  9324.    15158.        0.    15158. 2.14       0  0.00  1.00  2.14  1.00  2.07
154  9264.    15817.        0.    15817. 1.95       0  0.00  1.00  1.95  1.00  1.89
153  9204.    20858.        0.    20858. 1.77       0  0.00  1.00  1.77  1.00  1.71
152  9144.    28482.        0.    28482. 1.69       0  0.00  1.00  1.69  1.00  1.63
151  9084.    39349.        0.    39349. 1.68       0  0.00  1.00  1.68  1.00  1.63
150  9024.    45796.        0.    45796. 1.77       0  0.00  1.00  1.77  1.00  1.71
149  8964.    42908.        0.    42908. 1.85       0  0.00  1.00  1.85  1.00  1.79
148  8904.    34542.        0.    34542. 1.92       0  0.00  1.00  1.92  1.00  1.85
147  8844.    26974.        0.    26974. 2.13       0  0.00  1.00  2.13  1.00  2.06
146  8784.    22134.        0.    22134. 2.13       0  0.00  1.00  2.13  1.00  2.06
145  8724.    23880.        0.    23880. 2.20       0  0.00  1.00  2.20  1.00  2.13
144  8664.    13255.        0.    13255. 1.64       0  0.00  1.00  1.64  1.00  1.58
143  8604.    18103.        0.    18103. 1.63       0  0.00  1.00  1.63  1.00  1.58
142  8544.    21644.        0.    21644. 1.76       0  0.00  1.00  1.76  1.00  1.69
141  8484.    21358.        0.    21358. 1.83       0  0.00  1.00  1.83  1.00  1.77
140  8424.    17172.        0.    17172. 1.95       0  0.00  1.00  1.95  1.00  1.88
139  8364.    12331.        0.    12331. 2.04       0  0.00  1.00  2.04  1.00  1.97
138  8304.     8394.        0.     8394. 2.05       0  0.00  1.00  2.05  1.00  1.97
137  8244.     4246.        0.     4246. 2.43       0  0.00  1.00  2.43  1.00  2.34
136  8184.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
135  8124.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
134  8064.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
133  8004.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
132  7944.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
131  7884.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
