Response function created for file:Cu63raw. at 17-Apr-26 14:46:16
Calibration (a0,a1)=   1.000  15.000  FWHM (rel. at 1.33 MeV)=   5.980

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
     1.0       3.0   0.850  1.0000  0.0000  0.0000  0.0000  0.0000
   226.0      32.6   0.931  0.7494  0.2506  0.0000  0.0000  0.0000
   451.0      40.6   0.998  0.6508  0.3492  0.0000  0.0000  0.0000
   676.0      52.0   1.014  0.6019  0.3981  0.0000  0.0000  0.0000
   901.0      61.8   1.015  0.5634  0.4366  0.0000  0.0000  0.0000
  1126.0      71.2   1.004  0.5328  0.4672  0.0000  0.0000  0.0000
  1351.0      80.6   0.998  0.5043  0.4957  0.0000  0.0000  0.0000
  1576.0      88.6   0.993  0.4794  0.5087  0.0063  0.0000  0.0055
  1801.0      98.0   0.990  0.4514  0.5288  0.0096  0.0000  0.0102
  2026.0     107.3   0.988  0.4305  0.5418  0.0130  0.0000  0.0147
  2251.0     115.7   0.988  0.4102  0.5504  0.0216  0.0000  0.0178
  2476.0     124.4   0.990  0.3909  0.5608  0.0248  0.0000  0.0235
  2701.0     131.8   0.993  0.3728  0.5726  0.0273  0.0000  0.0272
  2926.0     138.0   0.996  0.3585  0.5819  0.0285  0.0000  0.0311
  3151.0     141.5   1.001  0.3450  0.5883  0.0307  0.0009  0.0352
  3376.0     142.9   1.007  0.3299  0.5946  0.0334  0.0022  0.0399
  3601.0     146.5   1.012  0.3159  0.6010  0.0363  0.0029  0.0438
  3826.0     153.7   1.017  0.3036  0.6073  0.0394  0.0028  0.0469
  4051.0     160.4   1.021  0.2907  0.6148  0.0422  0.0027  0.0496
  4276.0     166.1   1.026  0.2805  0.6199  0.0446  0.0028  0.0522
  4501.0     171.5   1.030  0.2698  0.6258  0.0469  0.0028  0.0548
  4726.0     175.3   1.039  0.2604  0.6317  0.0479  0.0035  0.0564
  4951.0     178.6   1.048  0.2513  0.6372  0.0490  0.0043  0.0582
  5176.0     183.1   1.054  0.2432  0.6439  0.0481  0.0043  0.0606
  5401.0     187.8   1.058  0.2351  0.6514  0.0465  0.0040  0.0631
  5626.0     193.6   1.063  0.2269  0.6535  0.0517  0.0032  0.0646
  5851.0     200.6   1.067  0.2182  0.6522  0.0623  0.0021  0.0652
  6076.0     206.9   1.072  0.2101  0.6536  0.0688  0.0015  0.0659
  6301.0     211.9   1.079  0.2037  0.6600  0.0674  0.0018  0.0670
  6526.0     216.7   1.086  0.1968  0.6673  0.0659  0.0021  0.0679
  6751.0     221.2   1.093  0.1899  0.6745  0.0643  0.0024  0.0689
  6976.0     225.6   1.099  0.1829  0.6819  0.0627  0.0027  0.0697
  7201.0     229.2   1.106  0.1769  0.6878  0.0622  0.0028  0.0704
  7426.0     232.6   1.113  0.1708  0.6938  0.0617  0.0028  0.0709
  7651.0     235.7   1.120  0.1649  0.6995  0.0613  0.0028  0.0715
  7876.0     238.7   1.126  0.1588  0.7058  0.0608  0.0028  0.0719
  8101.0     242.3   1.132  0.1528  0.7127  0.0595  0.0027  0.0723
  8326.0     246.9   1.137  0.1469  0.7208  0.0574  0.0026  0.0723
  8551.0     251.5   1.141  0.1409  0.7292  0.0551  0.0024  0.0724
  8776.0     255.9   1.146  0.1348  0.7376  0.0529  0.0023  0.0724
  9001.0     260.2   1.150  0.1291  0.7455  0.0508  0.0022  0.0725
  9226.0     264.8   1.155  0.1238  0.7524  0.0500  0.0021  0.0716
  9451.0     269.4   1.159  0.1186  0.7594  0.0493  0.0021  0.0706
  9676.0     273.9   1.164  0.1132  0.7666  0.0485  0.0020  0.0696
  9901.0     278.3   1.168  0.1081  0.7733  0.0478  0.0020  0.0688
 10126.0     282.6   1.173  0.1026  0.7807  0.0470  0.0019  0.0677
 10351.0     286.8   1.177  0.0973  0.7878  0.0462  0.0019  0.0668
 10576.0     290.9   1.182  0.0920  0.7949  0.0454  0.0018  0.0658
 10801.0     294.9   1.186  0.0868  0.8018  0.0447  0.0018  0.0649
 11026.0     298.8   1.191  0.0813  0.8093  0.0438  0.0017  0.0638
 11251.0     302.7   1.195  0.0758  0.8169  0.0429  0.0017  0.0627
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     1.0   0.850   0.000   0.000
    16.0   0.856   0.000   0.000
    31.0   0.861   0.000   0.000
    46.0   0.867   0.000   0.000
    61.0   0.872   0.000   0.000
    76.0   0.877   0.000   0.000
    91.0   0.883   0.000   0.000
   106.0   0.888   0.000   0.000
   121.0   0.894   0.000   0.000
   136.0   0.899   0.014   0.012
   151.0   0.904   0.029   0.026
   166.0   0.910   0.043   0.039
   181.0   0.915   0.058   0.053
   196.0   0.921   0.141   0.130
   211.0   0.926   0.234   0.217
   226.0   0.931   0.328   0.305
   241.0   0.937   0.421   0.395
   256.0   0.942   0.478   0.451
   271.0   0.948   0.526   0.499
   286.0   0.953   0.574   0.547
   301.0   0.958   0.638   0.611
   316.0   0.964   0.719   0.693
   331.0   0.969   0.800   0.775
   346.0   0.975   0.871   0.849
   361.0   0.980   0.879   0.862
   376.0   0.985   0.888   0.875
   391.0   0.991   0.896   0.888
   406.0   0.994   0.904   0.899
   421.0   0.996   0.912   0.908
   436.0   0.997   0.921   0.918
   451.0   0.998   0.929   0.927
   466.0   0.999   0.937   0.936
   481.0   1.000   0.945   0.946
   496.0   1.002   0.954   0.955
   511.0   1.003   0.962   0.965
   526.0   1.004   0.970   0.974
   541.0   1.005   0.978   0.984
   556.0   1.006   0.987   0.993
   571.0   1.008   0.990   0.998
   586.0   1.009   0.991   1.000
   601.0   1.010   0.992   1.002
   616.0   1.011   0.992   1.003
   631.0   1.012   0.993   1.005
   646.0   1.012   0.994   1.006
   661.0   1.013   0.995   1.008
   676.0   1.014   0.995   1.009
   691.0   1.015   0.996   1.010
   706.0   1.015   0.997   1.012
   721.0   1.016   0.997   1.013
   736.0   1.017   0.998   1.015
   751.0   1.018   0.999   1.016
   766.0   1.018   0.999   1.018
   781.0   1.019   1.000   1.019
   796.0   1.020   1.000   1.020
   811.0   1.019   1.000   1.019
   826.0   1.019   1.000   1.019
   841.0   1.018   1.000   1.018
   856.0   1.017   1.000   1.017
   871.0   1.016   1.000   1.016
   886.0   1.016   1.000   1.016
   901.0   1.015   1.000   1.015
   916.0   1.014   1.000   1.014
   931.0   1.013   1.000   1.013
   946.0   1.013   1.000   1.013
   961.0   1.012   1.000   1.012
   976.0   1.011   1.000   1.011
   991.0   1.010   1.000   1.010
  1006.0   1.010   1.000   1.010
