Response function created for file: Cu63raw. at 17-Apr-26 15:32:58
Calibration (a0,a1)=     1.0   15.000  FWHM (rel. at 1.33 MeV)=   6.750

 Ex(keV)  FWHM(keV)  EffTot  Full-energy  Incomplete+beta Multiplicity 
     1.0       3.0   1.000      0.0000        0.0000          0.00
   196.0      16.3   1.000      0.2635        0.7365          0.19
   391.0      31.1   1.000      0.2565        0.7435          0.32
   586.0      44.4   1.000      0.2498        0.7502          0.45
   781.0      56.1   1.000      0.2427        0.7573          0.58
   976.0      66.3   1.000      0.2377        0.7623          0.70
  1171.0      75.1   1.000      0.2325        0.7675          0.83
  1366.0      82.3   1.000      0.2267        0.7733          0.96
  1561.0      88.0   1.000      0.2218        0.7782          1.09
  1756.0      92.3   1.000      0.2174        0.7826          1.22
  1951.0      95.0   1.000      0.2127        0.7873          1.35
  2146.0     100.7   1.000      0.2097        0.7903          1.47
  2341.0     107.4   1.000      0.2032        0.7968          1.58
  2536.0     113.6   1.000      0.1963        0.8037          1.70
  2731.0     119.4   1.000      0.1884        0.8116          1.82
  2926.0     124.8   1.000      0.1810        0.8190          1.94
  3121.0     130.1   1.000      0.1755        0.8245          2.05
  3316.0     135.2   1.000      0.1720        0.8280          2.15
  3511.0     139.9   1.000      0.1683        0.8317          2.26
  3706.0     144.2   1.000      0.1636        0.8364          2.36
  3901.0     148.2   1.000      0.1589        0.8411          2.47
  4096.0     153.0   1.000      0.1553        0.8447          2.57
  4291.0     158.6   1.000      0.1503        0.8497          2.66
  4486.0     164.1   1.000      0.1457        0.8543          2.75
  4681.0     169.4   1.000      0.1417        0.8583          2.85
  4876.0     174.6   1.000      0.1377        0.8623          2.94
  5071.0     179.6   1.000      0.1332        0.8668          3.03
  5266.0     184.2   1.000      0.1274        0.8726          3.11
  5461.0     188.7   1.000      0.1222        0.8778          3.19
  5656.0     192.9   1.000      0.1171        0.8829          3.28
  5851.0     197.0   1.000      0.1121        0.8879          3.36
  6046.0     201.0   1.000      0.1087        0.8913          3.44
  6241.0     205.0   1.000      0.1070        0.8930          3.51
  6436.0     208.7   1.000      0.1050        0.8950          3.58
  6631.0     212.4   1.000      0.1029        0.8971          3.65
  6826.0     215.8   1.000      0.1007        0.8993          3.72
  7021.0     219.0   1.000      0.0989        0.9011          3.79
  7216.0     221.4   1.000      0.0962        0.9038          3.84
  7411.0     223.6   1.000      0.0935        0.9065          3.90
  7606.0     225.6   1.000      0.0910        0.9090          3.96
  7801.0     227.4   1.000      0.0884        0.9116          4.02
  7996.0     228.9   1.000      0.0879        0.9121          4.08
  8191.0     232.1   1.000      0.0847        0.9153          4.13
  8386.0     235.2   1.000      0.0814        0.9186          4.17
  8581.0     238.2   1.000      0.0777        0.9223          4.22
  8776.0     241.1   1.000      0.0734        0.9266          4.27
  8971.0     243.8   1.000      0.0688        0.9312          4.31
  9166.0     245.4   1.000      0.0655        0.9345          4.35
  9361.0     246.7   1.000      0.0624        0.9376          4.38
  9556.0     247.8   1.000      0.0593        0.9407          4.42
  9751.0     248.8   1.000      0.0562        0.9438          4.46
  9946.0     249.6   1.000      0.0532        0.9468          4.49
 10141.0     251.2   1.000      0.0512        0.9488          4.52
 10336.0     253.2   1.000      0.0493        0.9507          4.54
 10531.0     255.1   1.000      0.0474        0.9526          4.56
 10726.0     256.8   1.000      0.0456        0.9544          4.59
 10921.0     258.5   1.000      0.0439        0.9561          4.61
 11116.0     261.6   1.000      0.0422        0.9578          4.63
