Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
2.0	4.26003112e-09	4.2591367e-09	1.478449e-08	8.52897e-12	7.63455e-12	1.053298785e-08	1.14112e-12	2.467e-13	1.05256e-08	1.14112e-12	2.467e-13	1.05256e-08	6.456911120000001e-09	6.4560167e-09	1.698137e-08	1.14112e-12	2.467e-13	1.05256e-08	1.14112e-12	2.467e-13	1.05256e-08	8.4626112e-10	8.453666999999999e-10	1.137072e-08	1.14112e-12	2.467e-13	1.05256e-08
5.0	4.26055279e-09	4.25831675e-09	1.4759e-08	2.132239e-11	1.9086350000000002e-11	1.05197696e-08	2.85279e-12	6.1675e-13	1.05013e-08	2.85279e-12	6.1675e-13	1.05013e-08	6.45643279e-09	6.45419675e-09	1.695488e-08	2.85279e-12	6.1675e-13	1.05013e-08	2.85279e-12	6.1675e-13	1.05013e-08	8.4756679e-10	8.4533075e-10	1.1346014e-08	2.85279e-12	6.1675e-13	1.05013e-08
10.0	4.26143559e-09	4.2569635000000004e-09	1.471683e-08	4.264489e-11	3.81728e-11	1.04980393e-08	5.70559e-12	1.2335e-12	1.04611e-08	5.70559e-12	1.2335e-12	1.04611e-08	6.45563559e-09	6.4511635e-09	1.691103e-08	5.70559e-12	1.2335e-12	1.04611e-08	5.70559e-12	1.2335e-12	1.04611e-08	8.4974159e-10	8.452695e-10	1.1305136000000001e-08	5.70559e-12	1.2335e-12	1.04611e-08
20.0	4.2631812e-09	4.25423702e-09	1.463277e-08	8.528989999999999e-11	7.634572e-11	1.0454878700000001e-08	1.14112e-11	2.46702e-12	1.0381e-08	1.14112e-11	2.46702e-12	1.0381e-08	6.4540712e-09	6.4451270200000004e-09	1.682366e-08	1.14112e-11	2.46702e-12	1.0381e-08	1.14112e-11	2.46702e-12	1.0381e-08	8.540892e-10	8.4514502e-10	1.1223678e-08	1.14112e-11	2.46702e-12	1.0381e-08
50.0	4.2683691e-09	4.24600777e-09	1.438464e-08	2.132281e-10	1.9086677000000002e-10	1.0329499e-08	2.85291e-11	6.16777e-12	1.01448e-08	2.85291e-11	6.16777e-12	1.01448e-08	6.4496091e-09	6.42724777e-09	1.656588e-08	2.85291e-11	6.16777e-12	1.01448e-08	2.85291e-11	6.16777e-12	1.01448e-08	8.671181e-10	8.4475677e-10	1.0983389e-08	2.85291e-11	6.16777e-12	1.01448e-08
100.0	4.2767857e-09	4.2320571e-09	1.398377e-08	4.264787e-10	3.817501e-10	1.0133463e-08	5.70657e-11	1.23371e-11	9.76405e-09	5.70657e-11	1.23371e-11	9.76405e-09	6.4428957e-09	6.3981671e-09	1.614988e-08	5.70657e-11	1.23371e-11	9.76405e-09	5.70657e-11	1.23371e-11	9.76405e-09	8.887826999999999e-10	8.440541e-10	1.0595767e-08	5.70657e-11	1.23371e-11	9.76405e-09
200.0	4.2929e-09	4.203397e-09	1.322748e-08	8.53141e-10	7.63638e-10	9.787721e-09	1.192971e-10	2.97941e-11	9.0538771e-09	4.16123e-10	3.2662e-10	9.350703e-09	6.43223e-09	6.342727e-09	1.536681e-08	5.51664e-09	5.427136999999999e-09	1.4451219999999999e-08	2.18982e-09	2.1003170000000003e-09	1.11244e-08	9.443289999999999e-10	8.54826e-10	9.878909e-09	4.37314e-10	3.47811e-10	9.371894e-09
300.0	4.308153e-09	4.1737825e-09	1.252805e-08	1.280173e-09	1.1458025e-09	9.50007e-09	1.829257e-10	4.85552e-11	8.4028227e-09	4.96697e-10	3.623265e-10	8.716594e-09	6.425263e-09	6.2908924999999995e-09	1.464516e-08	4.100853e-09	3.9664825e-09	1.232075e-08	1.932013e-09	1.7976425e-09	1.015191e-08	1.002263e-09	8.678925000000001e-10	9.22216e-09	5.24177e-10	3.898065e-10	8.744074e-09
400.0	4.322664e-09	4.1432864e-09	1.1881289999999999e-08	1.7077539999999998e-09	1.5283764e-09	9.26638e-09	2.493067e-10	6.992910000000001e-11	7.8079327e-09	5.79099e-10	3.997214e-10	8.137725e-09	6.422034e-09	6.2426564e-09	1.3980659999999999e-08	3.441934e-09	3.2625563999999996e-09	1.1000559999999999e-08	1.839464e-09	1.6600864e-09	9.39809e-09	1.065776e-09	8.863984e-10	8.624401999999999e-09	6.14158e-10	4.347804e-10	8.172784e-09
500.0	4.3365929999999995e-09	4.112021799999999e-09	1.128339e-08	2.136073e-09	1.9115018e-09	9.08287e-09	3.1849300000000003e-10	9.39218e-11	7.26529e-09	6.635599999999999e-10	4.389888e-10	7.610357e-09	6.422572999999999e-09	6.198001799999999e-09	1.336937e-08	3.0866729999999998e-09	2.8621018e-09	1.0033469999999999e-08	1.821803e-09	1.5972318e-09	8.768599999999999e-09	1.1349540000000001e-09	9.103828e-10	8.081751e-09	7.0587e-10	4.812988e-10	7.652667e-09
