                    ************************************************************************************************
                    *  Z= 29 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 61 and ldmodel= 4  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.185  1.30E-01 5.20E-01 9.56E-01 3.27E-01 1.64E-01 2.53E-02 1.45E-03 3.22E-05 2.83E-07 9.98E-10 1.42E-12 8.24E-16 2.00E-19 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21 3.46E-21
   0.50  0.262  3.51E-01 8.85E-01 1.78E+00 5.12E-01 3.03E-01 6.25E-02 5.77E-03 3.02E-04 1.19E-05 3.85E-07 8.94E-09 1.35E-10 1.30E-12 7.86E-15 2.99E-17 7.57E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   0.75  0.321  6.97E-01 1.38E+00 3.27E+00 6.79E-01 5.14E-01 1.63E-01 2.86E-02 3.49E-03 3.52E-04 2.96E-05 1.93E-06 9.36E-08 3.32E-09 8.52E-11 1.58E-12 2.10E-14 2.01E-16 1.38E-18 1.11E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.00  0.371  1.18E+00 1.94E+00 5.23E+00 8.25E-01 7.40E-01 3.06E-01 7.47E-02 1.28E-02 1.74E-03 1.97E-04 1.81E-05 1.32E-06 7.39E-08 3.18E-09 1.04E-10 2.60E-12 4.89E-14 7.00E-16 7.52E-18 6.53E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.25  0.415  1.83E+00 2.59E+00 7.73E+00 9.67E-01 9.78E-01 4.86E-01 1.49E-01 3.20E-02 5.38E-03 7.43E-04 8.56E-05 7.98E-06 5.97E-07 3.55E-08 1.67E-09 6.14E-11 1.77E-12 3.98E-14 7.03E-16 9.59E-18 1.06E-19 5.21E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.50  0.454  2.69E+00 3.43E+00 1.10E+01 1.14E+00 1.25E+00 7.15E-01 2.59E-01 6.60E-02 1.29E-02 2.08E-03 2.82E-04 3.18E-05 2.95E-06 2.22E-07 1.36E-08 6.67E-10 2.63E-11 8.28E-13 2.10E-14 4.23E-16 6.80E-18 9.10E-20 5.28E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   1.75  0.490  3.80E+00 4.46E+00 1.54E+01 1.34E+00 1.58E+00 1.00E+00 4.11E-01 1.20E-01 2.68E-02 4.88E-03 7.47E-04 9.75E-05 1.07E-05 9.75E-07 7.36E-08 4.54E-09 2.30E-10 9.50E-12 3.21E-13 8.81E-15 1.96E-16 3.54E-18 5.64E-20 5.03E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   2.00  0.524  5.24E+00 5.74E+00 2.10E+01 1.58E+00 1.96E+00 1.34E+00 6.13E-01 2.00E-01 5.03E-02 1.01E-02 1.72E-03 2.52E-04 3.16E-05 3.37E-06 3.02E-07 2.27E-08 1.41E-09 7.33E-11 3.14E-12 1.11E-13 3.25E-15 7.88E-17 1.57E-18 3.00E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   2.25  0.556  7.07E+00 7.33E+00 2.81E+01 1.86E+00 2.41E+00 1.76E+00 8.77E-01 3.16E-01 8.72E-02 1.93E-02 3.60E-03 5.76E-04 8.07E-05 9.77E-06 1.02E-06 8.96E-08 6.68E-09 4.19E-10 2.20E-11 9.72E-13 3.59E-14 1.11E-15 2.86E-17 6.22E-19 1.55E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   2.50  0.586  9.39E+00 9.27E+00 3.73E+01 2.20E+00 2.94E+00 2.26E+00 1.21E+00 4.76E-01 1.44E-01 3.48E-02 6.99E-03 1.22E-03 1.86E-04 2.50E-05 2.94E-06 2.98E-07 2.59E-08 1.91E-09 1.20E-10 6.40E-12 2.90E-13 1.10E-14 3.57E-16 9.76E-18 2.29E-19 8.81E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   2.75  0.615  1.23E+01 1.16E+01 4.88E+01 2.58E+00 3.56E+00 2.88E+00 1.63E+00 6.93E-01 2.27E-01 5.95E-02 1.29E-02 2.41E-03 3.97E-04 5.83E-05 7.57E-06 8.61E-07 8.54E-08 7.32E-09 5.38E-10 3.37E-11 1.82E-12 8.33E-14 3.28E-15 1.10E-16 3.15E-18 8.12E-20 6.11E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   3.00  0.642  1.59E+01 1.45E+01 6.33E+01 3.04E+00 4.28E+00 3.61E+00 2.15E+00 9.80E-01 3.45E-01 9.74E-02 2.28E-02 4.54E-03 8.00E-04 1.26E-04 1.78E-05 2.24E-06 2.48E-07 2.41E-08 2.03E-09 1.47E-10 9.27E-12 5.02E-13 2.35E-14 9.44E-16 3.27E-17 9.80E-19 2.94E-20 5.14E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   3.25  0.668  2.04E+01 1.80E+01 8.15E+01 3.56E+00 5.15E+00 4.48E+00 2.81E+00 1.34E+00 5.10E-01 1.54E-01 3.87E-02 8.24E-03 1.54E-03 2.58E-04 3.90E-05 5.31E-06 6.53E-07 7.04E-08 6.69E-09 5.55E-10 4.01E-11 2.51E-12 1.37E-13 6.46E-15 2.65E-16 9.46E-18 2.96E-19 1.23E-20 5.00E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   3.50  0.694  2.60E+01 2.23E+01 1.04E+02 4.18E+00 6.16E+00 5.53E+00 3.61E+00 1.81E+00 7.31E-01 2.37E-01 6.35E-02 1.44E-02 2.86E-03 5.06E-04 8.12E-05 1.19E-05 1.57E-06 1.87E-07 1.97E-08 1.83E-09 1.50E-10 1.07E-11 6.69E-13 3.66E-14 1.75E-15 7.29E-17 2.66E-18 8.92E-20 6.90E-21 5.00E-21 5.00E-21 5.00E-21 5.00E-21
   3.75  0.718  3.29E+01 2.75E+01 1.32E+02 4.90E+00 7.31E+00 6.77E+00 4.58E+00 2.41E+00 1.03E+00 3.54E-01 1.01E-01 2.45E-02 5.14E-03 9.59E-04 1.62E-04 2.51E-05 3.56E-06 4.59E-07 5.30E-08 5.43E-09 4.96E-10 4.00E-11 2.82E-12 1.76E-13 9.63E-15 4.64E-16 1.97E-17 7.37E-19 2.84E-20 5.31E-21 5.00E-21 5.00E-21 5.00E-21
   4.00  0.741  4.13E+01 3.36E+01 1.67E+02 5.72E+00 8.68E+00 8.21E+00 5.78E+00 3.17E+00 1.40E+00 5.16E-01 1.57E-01 4.03E-02 8.96E-03 1.76E-03 3.13E-04 5.08E-05 7.62E-06 1.05E-06 1.31E-07 1.47E-08 1.48E-09 1.32E-10 1.05E-11 7.33E-13 4.55E-14 2.50E-15 1.21E-16 5.19E-18 2.01E-19 1.11E-20 5.00E-21 5.00E-21 5.00E-21
