                    ************************************************************************************************
                    *  Z= 29 A= 62: Positive-Parity Spin-dependent Level Density [MeV-1] for Cu 62 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.180  1.66E+00 6.65E+00 2.96E+01 1.01E+00 2.21E+00 1.96E+00 1.06E+00 3.82E-01 9.55E-02 1.68E-02 2.11E-03 1.89E-04 1.21E-05 5.61E-07 1.87E-08 4.52E-10 7.89E-12 9.97E-14 9.13E-16 6.07E-18 2.92E-20 1.02E-22 2.59E-25 4.78E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.255  3.68E+00 8.05E+00 3.58E+01 1.23E+00 2.68E+00 2.37E+00 1.28E+00 4.63E-01 1.16E-01 2.04E-02 2.55E-03 2.28E-04 1.47E-05 6.80E-07 2.27E-08 5.48E-10 9.56E-12 1.21E-13 1.11E-15 7.35E-18 3.54E-20 1.24E-22 3.14E-25 5.79E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.312  6.12E+00 9.76E+00 4.34E+01 1.49E+00 3.25E+00 2.87E+00 1.55E+00 5.61E-01 1.40E-01 2.47E-02 3.09E-03 2.77E-04 1.78E-05 8.23E-07 2.75E-08 6.63E-10 1.16E-11 1.46E-13 1.34E-15 8.91E-18 4.29E-20 1.50E-22 3.81E-25 7.02E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.361  9.07E+00 1.18E+01 5.42E+01 1.70E+00 3.79E+00 3.47E+00 1.98E+00 7.71E-01 2.12E-01 4.16E-02 5.92E-03 6.15E-04 4.66E-05 2.59E-06 1.06E-07 3.19E-09 7.08E-11 1.16E-12 1.40E-14 1.25E-16 8.22E-19 4.01E-21 1.44E-23 3.85E-26 7.58E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.403  1.27E+01 1.43E+01 6.84E+01 1.91E+00 4.35E+00 4.17E+00 2.55E+00 1.09E+00 3.36E-01 7.59E-02 1.27E-02 1.59E-03 1.48E-04 1.04E-05 5.49E-07 2.18E-08 6.55E-10 1.48E-11 2.53E-13 3.28E-15 3.20E-17 2.37E-19 1.32E-21 5.61E-24 1.80E-26 4.38E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.442  1.70E+01 1.74E+01 8.60E+01 2.15E+00 5.00E+00 4.99E+00 3.24E+00 1.50E+00 5.10E-01 1.30E-01 2.50E-02 3.66E-03 4.09E-04 3.50E-05 2.29E-06 1.16E-07 4.49E-09 1.34E-10 3.09E-12 5.49E-14 7.52E-16 7.95E-18 6.48E-20 4.09E-22 1.99E-24 7.48E-27 2.17E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.477  2.23E+01 2.10E+01 1.08E+02 2.44E+00 5.76E+00 5.95E+00 4.07E+00 2.02E+00 7.47E-01 2.11E-01 4.58E-02 7.69E-03 1.00E-03 1.02E-04 8.08E-06 5.01E-07 2.43E-08 9.24E-10 2.75E-11 6.43E-13 1.18E-14 1.70E-16 1.92E-18 1.71E-20 1.19E-22 6.54E-25 2.82E-27 9.58E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.510  2.86E+01 2.55E+01 1.35E+02 2.77E+00 6.65E+00 7.08E+00 5.07E+00 2.66E+00 1.06E+00 3.29E-01 7.93E-02 1.50E-02 2.24E-03 2.65E-04 2.48E-05 1.84E-06 1.08E-07 5.09E-09 1.90E-10 5.64E-12 1.34E-13 2.52E-15 3.79E-17 4.55E-19 4.36E-21 3.33E-23 2.03E-25 9.86E-28 3.83E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
