                    ************************************************************************************************
                    *  Z= 28 A= 62: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 62 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.184  4.21E-01 1.68E+00 7.78E+00 2.38E-01 5.32E-01 4.93E-01 2.86E-01 1.14E-01 3.21E-02 6.52E-03 9.65E-04 1.05E-04 8.34E-06 4.90E-07 2.13E-08 6.85E-10 1.63E-11 2.88E-13 3.78E-15 3.68E-17 2.66E-19 1.43E-21 5.73E-24 1.70E-26 3.77E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.260  9.18E-01 1.99E+00 9.20E+00 2.81E-01 6.29E-01 5.83E-01 3.39E-01 1.35E-01 3.79E-02 7.71E-03 1.14E-03 1.24E-04 9.86E-06 5.80E-07 2.52E-08 8.10E-10 1.93E-11 3.41E-13 4.47E-15 4.35E-17 3.15E-19 1.69E-21 6.77E-24 2.01E-26 4.46E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.318  1.51E+00 2.35E+00 1.09E+01 3.32E-01 7.44E-01 6.89E-01 4.00E-01 1.59E-01 4.49E-02 9.12E-03 1.35E-03 1.46E-04 1.17E-05 6.86E-07 2.98E-08 9.58E-10 2.28E-11 4.03E-13 5.29E-15 5.15E-17 3.72E-19 2.00E-21 8.01E-24 2.38E-26 5.27E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.368  2.20E+00 2.78E+00 1.29E+01 3.93E-01 8.79E-01 8.15E-01 4.73E-01 1.88E-01 5.30E-02 1.08E-02 1.60E-03 1.73E-04 1.38E-05 8.10E-07 3.52E-08 1.13E-09 2.70E-11 4.76E-13 6.25E-15 6.08E-17 4.40E-19 2.37E-21 9.47E-24 2.82E-26 6.23E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.411  3.02E+00 3.29E+00 1.52E+01 4.65E-01 1.04E+00 9.64E-01 5.59E-01 2.22E-01 6.27E-02 1.27E-02 1.89E-03 2.04E-04 1.63E-05 9.58E-07 4.16E-08 1.34E-09 3.19E-11 5.63E-13 7.39E-15 7.19E-17 5.20E-19 2.80E-21 1.12E-23 3.33E-26 7.37E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.450  3.99E+00 3.88E+00 1.80E+01 5.49E-01 1.23E+00 1.14E+00 6.61E-01 2.63E-01 7.41E-02 1.51E-02 2.23E-03 2.42E-04 1.93E-05 1.13E-06 4.92E-08 1.58E-09 3.77E-11 6.66E-13 8.73E-15 8.50E-17 6.15E-19 3.31E-21 1.32E-23 3.94E-26 8.71E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.486  5.14E+00 4.59E+00 2.13E+01 6.49E-01 1.45E+00 1.35E+00 7.82E-01 3.11E-01 8.76E-02 1.78E-02 2.64E-03 2.86E-04 2.28E-05 1.34E-06 5.82E-08 1.87E-09 4.46E-11 7.87E-13 1.03E-14 1.01E-16 7.27E-19 3.91E-21 1.56E-23 4.65E-26 1.03E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.520  6.50E+00 5.43E+00 2.51E+01 7.68E-01 1.72E+00 1.59E+00 9.24E-01 3.68E-01 1.04E-01 2.11E-02 3.12E-03 3.38E-04 2.69E-05 1.58E-06 6.88E-08 2.21E-09 5.27E-11 9.31E-13 1.22E-14 1.19E-16 8.60E-19 4.63E-21 1.85E-23 5.50E-26 1.22E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
